id,label,volume,number,date,pages
nla.obj-675239283,,76,3936,1955-07-20,36
nla.obj-675239366,,76,3937,1955-07-27,36
nla.obj-675239408,,76,3938,1955-08-03,36
nla.obj-675239424,,76,3939,1955-08-10,36
nla.obj-675239557,,76,3940,1955-08-17,36
nla.obj-675239599,,76,3941,1955-08-24,36
nla.obj-675239613,,76,3942,1955-08-31,36
nla.obj-675617625,,76,3943,1955-09-07,36
nla.obj-675617649,,76,3944,1955-09-14,36
nla.obj-675617663,,76,3945,1955-09-21,36
nla.obj-675617682,,76,3946,1955-09-28,36
nla.obj-675617706,,76,3947,1955-10-05,36
nla.obj-675617722,,76,3948,1955-10-12,36
nla.obj-676176672,,76,3955,1955-11-30,36
nla.obj-675646768,,76,3956,1955-12-07,36
nla.obj-675646784,CHRISTMAS NUMBER,76,3957,1955-12-14,52
nla.obj-675646807,,76,3958,1955-12-21,36
nla.obj-675646829,,76,3959,1955-12-28,36
nla.obj-677235204,,77,3960,1956-01-04,36
nla.obj-677235220,,77,3961,1956-01-11,36
nla.obj-677235248,,77,3962,1956-01-18,36
nla.obj-677235261,,77,3963,1956-01-25,36
nla.obj-677235285,,77,3964,1956-02-01,36
nla.obj-677235301,,77,3965,1956-02-08,36
nla.obj-677235325,,77,3966,1956-02-15,36
nla.obj-677235349,,77,3967,1956-02-22,36
nla.obj-677235363,,77,3968,1956-02-29,36
nla.obj-677235382,,77,3969,1956-03-07,36
nla.obj-677235400,,77,3970,1956-03-14,36
nla.obj-677235421,,77,3971,1956-03-21,36
nla.obj-677235445,,77,3972,1956-03-28,52
nla.obj-677235468,,77,3973,1956-04-04,36
nla.obj-677235484,,77,3974,1956-04-11,36
nla.obj-677235506,,77,3975,1956-04-18,36
nla.obj-677235522,,77,3976,1956-04-25,36
nla.obj-677235540,,77,3977,1956-05-02,36
nla.obj-677235565,,77,3978,1956-05-09,36
nla.obj-677235587,,77,3979,1956-05-16,36
nla.obj-677235603,,77,3980,1956-05-23,36
nla.obj-677235627,,77,3981,1956-05-30,68
nla.obj-677235642,,77,3982,1956-06-06,36
nla.obj-677235669,,77,3983,1956-06-13,36
nla.obj-677235688,,77,3984,1956-06-20,36
nla.obj-677235702,,77,3985,1956-06-27,36
nla.obj-677336339,,77,3986,1956-07-04,36
nla.obj-677336409,,77,3987,1956-07-11,36
nla.obj-677336480,,77,3988,1956-07-18,36
nla.obj-677336524,,77,3989,1956-07-25,36
nla.obj-677336543,,77,3990,1956-08-01,36
nla.obj-677336678,,77,3991,1956-08-08,36
nla.obj-677336717,,77,3992,1956-08-15,36
nla.obj-677336730,,77,3993,1956-08-22,36
nla.obj-677336803,,77,3994,1956-08-29,36
nla.obj-677336888,,77,3995,1956-09-05,36
nla.obj-677336902,,77,3996,1956-09-12,36
nla.obj-677336944,,77,3997,1956-09-19,36
nla.obj-677336966,,77,3998,1956-09-26,36
nla.obj-677337037,,77,3999,1956-10-03,36
nla.obj-677337264,,77,4000,1956-10-10,36
nla.obj-677337397,,77,4001,1956-10-17,36
nla.obj-677337434,,77,4002,1956-10-24,36
nla.obj-677337450,,77,4003,1956-10-31,36
nla.obj-677337515,,77,4004,1956-11-07,36
nla.obj-677337609,,77,4005,1956-11-14,36
nla.obj-677337623,,77,4006,1956-11-21,36
nla.obj-677337667,,77,4007,1956-11-28,36
nla.obj-677337680,,77,4008,1956-12-05,36
nla.obj-677337811,CHRISTMAS NUMBER,77,4009,1956-12-12,52
nla.obj-677337854,,77,4010,1956-12-19,36
nla.obj-677337879,,77,4011,1956-12-26,36
nla.obj-677571749,,78,4012,1957-01-02,36
nla.obj-677571763,,78,4013,1957-01-09,36
nla.obj-677571782,,78,4014,1957-01-16,36
nla.obj-677571803,,78,4015,1957-01-23,36
nla.obj-677571827,,78,4016,1957-01-30,36
nla.obj-677571842,,78,4017,1957-02-06,36
nla.obj-677571869,,78,4018,1957-02-13,36
nla.obj-677571888,,78,4019,1957-02-20,36
nla.obj-677571902,,78,4020,1957-02-27,36
nla.obj-677571928,,78,4021,1957-03-06,36
nla.obj-677571944,,78,4022,1957-03-13,36
nla.obj-677571966,,78,4023,1957-03-20,36
nla.obj-677571989,,78,4024,1957-03-27,68
nla.obj-680601559,,78,4025,1957-04-03,68
nla.obj-680601592,,78,4026,1957-04-10,68
nla.obj-680601615,,78,4027,1957-04-17,68
nla.obj-680601631,,78,4028,1957-04-24,68
nla.obj-680601653,,78,4029,1957-05-01,60
nla.obj-680601690,,78,4030,1957-05-08,60
nla.obj-680601716,,78,4031,1957-05-15,60
nla.obj-680601734,,78,4032,1957-05-22,60
nla.obj-680601750,,78,4033,1957-05-29,92
nla.obj-680601775,,78,4034,1957-06-05,60
nla.obj-680601791,,78,4035,1957-06-12,60
nla.obj-680601814,,78,4036,1957-06-19,60
nla.obj-680601838,,78,4037,1957-06-26,60
nla.obj-681325461,,78,4038,1957-07-03,60
nla.obj-681325485,,78,4039,1957-07-10,60
nla.obj-681325500,,78,4040,1957-07-17,60
nla.obj-681325521,,78,4041,1957-07-24,60
nla.obj-681325545,,78,4042,1957-07-31,68
nla.obj-681325568,,78,4043,1957-08-07,60
nla.obj-681325584,,78,4044,1957-08-14,60
nla.obj-681325602,,78,4045,1957-08-21,60
nla.obj-681325628,,78,4046,1957-08-28,60
nla.obj-681325644,,78,4047,1957-09-04,60
nla.obj-681325666,,78,4048,1957-09-11,60
nla.obj-681325689,,78,4049,1957-09-18,60
nla.obj-681325769,,78,4050,1957-09-25,60
nla.obj-681325788,,78,4051,1957-10-02,60
nla.obj-681325809,,78,4052,1957-10-09,60
nla.obj-681770011,,78,4053,1957-10-16,60
nla.obj-681770136,,78,4054,1957-10-23,60
nla.obj-681770284,,78,4055,1957-10-30,60
nla.obj-681770383,,78,4056,1957-11-06,60
nla.obj-681770508,,78,4057,1957-11-13,60
nla.obj-681770632,,78,4058,1957-11-20,60
nla.obj-681770678,,78,4059,1957-11-27,60
nla.obj-681770803,,78,4060,1957-12-04,68
nla.obj-681770842,,78,4061,1957-12-11,76
nla.obj-681770977,,78,4062,1957-12-18,60
nla.obj-681771017,,78,4063,1957-12-25,60
nla.obj-679400910,,79,4064,1958-01-01,60
nla.obj-679401015,,79,4065,1958-01-08,60
nla.obj-679401122,,79,4066,1958-01-15,60
nla.obj-679401225,,79,4067,1958-01-22,60
nla.obj-679401282,,79,4068,1958-01-29,60
nla.obj-679401395,,79,4069,1958-02-05,60
nla.obj-679401418,,79,4070,1958-02-12,60
nla.obj-679401564,,79,4071,1958-02-19,60
nla.obj-679401635,,79,4072,1958-02-26,60
nla.obj-679401736,,79,4073,1958-03-05,60
nla.obj-679401800,,79,4074,1958-03-12,60
nla.obj-679401903,,79,4075,1958-03-19,60
nla.obj-679401927,,79,4076,1958-03-26,68
nla.obj-679402075,,79,4077,1958-04-02,60
nla.obj-679402167,,79,4078,1958-04-09,60
nla.obj-679402247,,79,4079,1958-04-16,60
nla.obj-679402377,,79,4080,1958-04-23,60
nla.obj-679402419,,79,4081,1958-04-30,60
nla.obj-679402548,,79,4082,1958-05-07,60
nla.obj-679402585,,79,4083,1958-05-14,60
nla.obj-679402710,,79,4084,1958-05-21,60
nla.obj-679402817,,79,4085,1958-05-28,92
nla.obj-679402965,,79,4086,1958-06-04,60
nla.obj-679402987,,79,4087,1958-06-11,60
nla.obj-679403134,,79,4088,1958-06-18,60
nla.obj-686993040,,79,4090,1958-07-02,60
nla.obj-686993326,,79,4091,1958-07-09,60
nla.obj-691892456,,79,4092,1958-07-16,56
nla.obj-686993347,,79,4093,1958-07-23,60
nla.obj-686993409,,79,4094,1958-07-30,60
nla.obj-686993423,,79,4095,1958-08-06,60
nla.obj-686993641,,79,4096,1958-08-13,60
nla.obj-686993664,,79,4097,1958-08-20,60
nla.obj-686993796,,79,4098,1958-08-27,60
nla.obj-686993816,,79,4099,1958-09-03,60
