title,contributor,issued,format,fulltext_url,trove_url,trove_id,fulltext_url_type
Maritime times of Tasmania (Online),Maritime Museum of Tasmania,2002-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1054445701,https://trove.nla.gov.au/work/11045864,nla.obj-1054445701,edeposit
General report / Joint Committee of Public Accounts,Australia. Parliament. Joint Committee of Public Accounts,1917-1929,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2621673736,https://trove.nla.gov.au/work/110477362,nla.obj-2621673736,digitised
Report ... on the operations of the Papua New Guinea Superannuation Board during the year ended 30 June,Australian Government Retirement Benefits Office,1973-1976,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1425459569,https://trove.nla.gov.au/work/11063156,nla.obj-1425459569,digitised
Report on the general administration and operation of the Papua New Guinea Superannuation Scheme and the Contract Officers Retirement Benefits Scheme for the year ended 30 June,Australian Government Retirement Benefits Office,1977-1978,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1298033663,https://trove.nla.gov.au/work/11063299,nla.obj-1298033663,digitised
Doctor Q (Online),Australian Medical Association. Queensland Branch,1994-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-498270080,https://trove.nla.gov.au/work/11065453,nla.obj-498270080,edeposit
Arafmi newsletter,"Association of Relatives and Friends of the Mentally Ill (Brisbane, Qld.)",1900-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-536361832,https://trove.nla.gov.au/work/11072800,nla.obj-536361832,edeposit
"Everybody's Tasmanian almanac (Launceston, Tas.)",,1800-1886,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2879738467,https://trove.nla.gov.au/work/11112421,nla.obj-2879738467,digitised
Newsletter (Gisborne & Mount Macedon Districts Historical Society : Online),Gisborne & Mount Macedon Districts Historical Society,1993-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2816177783,https://trove.nla.gov.au/work/11141630,nla.obj-2816177783,edeposit
The Defence corporate plan,Australia. Department of Defence,1900-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-315449991,https://trove.nla.gov.au/work/11168387,nla.obj-315449991,edeposit
The New South Wales Aborigines' advocate : a monthly record of missionary work amongst the Aborigines / issued under the auspices of the N.S.W. Aborigines' Mission,N.S.W. Aborigines' Mission,1901-1908,"Periodical | Microform | Periodical/Newspaper | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-554406117,https://trove.nla.gov.au/work/11182910,nla.obj-554406117,digitised
"Australia and the international financial institutions : annual report to the Parliament ... by ..., Treasurer","Costello, Peter, 1957-",2003-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-743643288,https://trove.nla.gov.au/work/11202920,nla.obj-743643288,digitised
Cultural studies review (Online),University of Melbourne,2002-2021,"Periodical | Periodical/Journal, magazine, other | Archived website",https://nla.gov.au/nla.obj-570485015,https://trove.nla.gov.au/work/11208567,nla.obj-570485015,edeposit
The Australian zoologist,Royal Zoological Society of New South Wales,1914-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-494771891,https://trove.nla.gov.au/work/11225996,nla.obj-494771891,edeposit
"Walkabout (Melbourne, Vic.)",Australian National Travel Association,1900-2021,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-566923190,https://trove.nla.gov.au/work/11231162,nla.obj-566923190,digitised
"Labour history (Canberra, A.C.T.)",Australian Society for the Study of Labour History,1900-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-703919367,https://trove.nla.gov.au/work/11242403,nla.obj-703919367,edeposit
Geographical handbook series,,1941,"Government publication | Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-233469844,https://trove.nla.gov.au/work/11259714,nla.obj-233469844,digitised
Lamp (Online),New South Wales Nurses' Association,1900-2021,"Periodical | Periodical/Journal, magazine, other | Microform",https://nla.gov.au/nla.obj-2866196482,https://trove.nla.gov.au/work/11270379,nla.obj-2866196482,edeposit
Australian journal of chemistry (Online),CSIRO,1900-2021,"Periodical | Periodical/Journal, magazine, other | Government publication | Microform",http://nla.gov.au/nla.obj-739302754,https://trove.nla.gov.au/work/11287243,nla.obj-739302754,other
Pacific islands monthly : PIM,,1930-2021,"Periodical | Periodical/Journal, magazine, other | Microform",http://nla.gov.au/nla.obj-310385031,https://trove.nla.gov.au/work/11299027,nla.obj-310385031,digitised
Territory of Papua : annual report for the year,Papua. Lieutenant Governor,1923-1940,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1905139508,https://trove.nla.gov.au/work/11299461,nla.obj-1905139508,digitised
